id,mass,x,y,z,vx,vy,vz
0,1.98847e+30,-0.0197408,0.0339938,0.000211534,-1.20504e-06,2.83933e-06,1.37193e-08
1,3.30101e+23,-0.406337,-0.131613,0.022153,0.00526473,-0.0246323,-0.00249597
2,4.86732e+24,0.705543,0.0437914,-0.0415129,-0.000359448,0.020134,0.000296498
3,5.97219e+24,-0.221554,0.995225,0.000157638,-0.0171341,-0.00359353,-2.01173e-07
4,6.41693e+23,-1.19728,1.19585,0.0534696,-0.00930048,-0.00876543,4.463e-05
5,1.89813e+27,3.71305,3.31754,-0.0969656,-0.00508283,0.00603069,8.88557e-05
6,5.68319e+26,-8.95583,-3.68593,0.420743,0.00183847,-0.00515729,1.65247e-05
7,8.68101e+25,20.0196,1.23688,-0.254255,-0.000269163,0.00375009,1.78152e-05
8,1.0241e+26,25.996,-14.9048,-0.289436,0.00153748,0.00274885,-9.12122e-05
9,9.47e+20,2.78589,0.69817,-0.495992,-0.00262988,0.00937707,0.000777674
10,1.30293e+22,3.92929,-31.7961,2.26507,0.00317978,-0.000217882,-0.000898669
11,1.6716e+22,87.2273,34.9398,-22.2098,-0.000329038,0.000928696,0.000903461
12,4.006e+21,-42.9481,-13.986,23.5163,0.000908549,-0.00196941,0.000145181
13,3.1e+21,-45.773,2.07399,25.1433,-0.000292568,-0.00217046,-6.45942e-05
14,1.75e+21,75.8495,-41.2088,-4.8178,0.00119722,0.000732678,0.000679628
15,1.4e+21,-5.65684,-42.3123,5.75039,0.00261097,-0.000231063,9.0079e-05
16,1.194e+21,51.7821,67.5706,-17.9703,-0.00237283,0.000780493,0.00015843
17,6.348e+20,-40.4046,20.8487,-15.3431,-0.000970998,-0.00193241,-0.000344149
18,4.922e+20,40.4672,-4.47485,17.3374,0.000371237,0.00247068,0.000356228
19,7.34581e+22,-1.02762,-0.1417,0.00187072,0.00341323,-0.0169188,-3.98629e-05
20,1.06192e+16,-0.724363,-1.32199,0.0336872,0.0137363,-0.00438082,-0.000327103
21,1.44069e+15,0.753377,-1.22207,-0.0669926,0.0116237,0.00915397,9.33837e-05
22,8.92968e+22,3.71583,3.31705,-0.0969364,-0.00334201,0.0158613,0.00045542
23,4.79859e+22,3.70879,3.31918,-0.0969635,-0.00772871,-0.00130002,-0.000146605
24,1.48148e+23,3.7072,3.31345,-0.0971896,-0.0014735,0.000870466,-5.69161e-05
25,1.07566e+23,3.70037,3.31694,-0.0971577,-0.00485074,0.0013393,-5.74934e-05
26,2.46564e+18,3.71373,3.31854,-0.0969156,-0.0177451,0.0146519,0.000119473
27,2.27069e+18,3.70597,3.23719,-0.123244,-0.00350201,0.006273,-0.000548948
28,8.69228e+17,3.64718,3.32396,-0.060229,-0.00484778,0.00408325,0.000114638
29,2.99734e+17,3.83836,3.14976,-0.00118131,-0.00578891,0.00584065,0.00032576
30,7.49334e+16,3.59504,3.23975,-0.0508623,-0.00623379,0.00687652,-0.000137285
31,6.29441e+16,3.78189,3.28283,-0.110835,-0.00443646,0.00760463,0.000919621
32,1.31883e+17,3.67561,3.13112,-0.14397,-0.00606786,0.00640867,0.000113421
33,2.99734e+16,3.75359,3.46802,-0.113709,-0.00414129,0.00542633,0.000721089
34,1.09403e+16,3.75971,3.37019,-0.113598,-0.00675303,0.0068649,-0.000655478
35,4.51704e+17,3.71209,3.31627,-0.0970552,0.0049992,-0.00192889,1.77954e-06
36,2.08262e+15,3.71288,3.31864,-0.0969288,-0.0194512,0.00668427,-0.00010201
37,3.74722e+16,3.71284,3.3184,-0.096938,-0.022955,0.004481,-0.000235514
38,8.69228e+14,3.64264,3.25944,-0.0286454,-0.00648615,0.00714345,0.000192166
39,6.89388e+14,3.689,3.27431,-0.0614789,-0.00340833,0.00568947,0.000897208
40,2.09814e+14,3.71813,3.20376,-0.0270894,-0.00652364,0.00582163,0.000649306
41,1.64854e+14,3.82812,3.18561,-0.0701703,-0.00575762,0.00516515,0.000358131
42,7.49334e+13,3.84919,3.27212,-0.112654,-0.00580056,0.00483478,-0.000197329
43,1.19894e+14,3.80788,3.42329,-0.0601473,-0.00442393,0.00496773,0.000665281
44,1.94827e+14,3.89367,3.23834,-0.0587813,-0.00546424,0.00514019,-4.34549e-05
45,1.94827e+14,3.85089,3.38207,-0.185482,-0.00456314,0.00504206,0.000233586
46,4.496e+13,3.80952,3.42626,-0.129235,-0.00435385,0.00484892,0.000384302
47,7.49334e+13,3.62752,3.17958,-0.132695,-0.00626368,0.00650258,0.000224193
48,4.34614e+14,3.83021,3.21396,-0.110968,-0.00549472,0.0050788,0.000778189
49,8.99201e+13,3.64377,3.4672,-0.134601,-0.00423799,0.00669111,-0.00048817
50,8.99201e+13,3.78407,3.16776,-0.119136,-0.00600112,0.00582047,0.000752695
51,8.99201e+13,3.75385,3.18656,-0.0209739,-0.00624704,0.005608,0.000222977
52,4.496e+13,3.56946,3.41433,-0.140132,-0.00472332,0.00709704,3.64055e-05
53,4.496e+13,3.63089,3.38246,-0.118156,-0.00368251,0.00696592,-0.000667496
54,4.496e+13,3.7827,3.22456,-0.112679,-0.00607268,0.00511244,0.00106394
55,1.49867e+13,3.70797,3.19083,-0.107473,-0.00632564,0.00601722,-0.000756823
56,1.49867e+13,3.56814,3.38255,0.00449852,-0.00464622,0.00686172,-7.57603e-05
57,1.49867e+13,3.7594,3.13724,-0.183158,-0.00595237,0.00572426,-0.000147707
58,1.49867e+13,3.52404,3.32813,-0.137002,-0.00509729,0.00707387,0.000205439
59,1.49867e+13,3.65426,3.1429,-0.0591552,-0.00601558,0.00660679,-9.42226e-05
60,4.496e+13,3.81371,3.12508,-0.0101165,-0.00577986,0.00581881,0.000210898
61,1.49867e+13,3.72978,3.45608,-0.142078,-0.00396199,0.00556002,0.000693667
62,8.99201e+13,3.87296,3.1923,-0.180226,-0.00522899,0.00518587,5.33614e-06
63,1.49867e+13,3.85055,3.29562,-0.148963,-0.00555939,0.00485371,-0.000325024
64,4.496e+13,3.6725,3.42568,-0.126014,-0.00358883,0.00682296,1.94974e-05
65,1.49867e+13,3.76769,3.19,-0.0779454,-0.00627287,0.00521497,-0.000152151
66,8.99201e+13,3.72516,3.44173,-0.0529896,-0.0036699,0.00588869,0.000572182
67,4.496e+13,3.7749,3.26866,-0.210353,-0.00432772,0.00686717,0.000619136
68,8.99201e+13,3.86116,3.41102,-0.125165,-0.00461491,0.0049628,-0.000161098
69,1.49867e+13,3.80359,3.18173,-0.112621,-0.00554758,0.00501328,0.000674677
70,1.49867e+13,3.81827,3.20795,0.00219437,-0.00609161,0.00562734,0.00044212
71,1.49867e+13,3.54476,3.2963,-0.0688485,-0.00563057,0.00711072,-0.000148645
72,5.52e+12,3.77988,3.25291,-0.0665399,-0.00424198,0.00718529,0.000602895
73,5.52e+12,3.66575,3.42396,-0.0699648,-0.00353476,0.00664067,-0.00016793
74,2.76e+12,3.80813,3.44535,-0.166023,-0.00431198,0.00527605,-0.000450652
75,2.76e+12,3.69979,3.43311,-0.0910267,-0.00376805,0.00664931,-0.000735678
76,1.38e+12,3.69488,3.43987,-0.126989,-0.00631915,0.00604149,-0.000700883
77,4.14e+12,3.78069,3.33453,-0.0719501,-0.005601,0.00778986,-0.000673684
78,4.14e+12,3.64426,3.31854,-0.0574916,-0.00517687,0.00419904,0.000329918
79,3.75095e+19,-8.95626,-3.68697,0.421297,0.00949779,-0.00786828,0.000852893
80,1.08032e+20,-8.95441,-3.68665,0.420981,0.00521253,0.000325789,-0.0031933
81,6.17498e+20,-8.95659,-3.68752,0.421621,0.0078563,-0.00767038,0.000646351
82,1.09549e+21,-8.95402,-3.68757,0.421422,0.00582827,-0.00164335,-0.00221909
83,2.30649e+21,-8.95236,-3.68652,0.420688,0.00251408,-0.000893025,-0.00229951
84,1.34518e+23,-8.95823,-3.67877,0.417285,-0.00120175,-0.00577615,0.000638967
85,5.55103e+18,-8.95047,-3.67891,0.416682,-0.000739846,-0.00374647,-0.000430399
86,1.80567e+21,-8.94209,-3.70489,0.422399,0.00331319,-0.00407545,-0.000535611
87,8.3123e+18,-9.01953,-3.72674,0.428322,0.00113656,-0.00429189,0.000106957
88,1.89648e+18,-8.95649,-3.68665,0.421183,0.00851201,-0.0101792,0.00201371
89,5.26249e+17,-8.9566,-3.68658,0.421152,0.00764832,-0.0109014,0.00245665
90,7.12799e+15,-8.9545,-3.68409,0.419653,-0.00309168,-0.00228048,-0.0010262
91,4.0464e+15,-8.95413,-3.68689,0.421063,0.00514475,-0.000225803,-0.00275086
92,2.54774e+15,-8.95746,-3.68487,0.420399,-0.00174666,-0.00980393,0.00287045
93,5.57194e+15,-8.95496,-3.68628,0.420839,0.00573854,0.00230971,-0.00427291
94,1.61097e+17,-8.95665,-3.68644,0.421089,0.00699887,-0.0115524,0.00286043
95,1.39196e+17,-8.95553,-3.68681,0.421171,0.0101385,-0.00298377,-0.001919
96,4.94561e+15,-8.95647,-3.6853,0.420476,-0.00454166,-0.0109425,0.00366845
97,4.94561e+15,-9.05854,-3.73133,0.425772,0.0016237,-0.00420852,0.000118358
98,8.24268e+15,-8.83493,-3.6866,0.45343,0.00204473,-0.00470115,0.000526877
99,2.6976e+15,-9.12056,-3.73111,0.527845,0.00183287,-0.00554188,-6.4966e-05
100,1.19894e+15,-8.97147,-3.62408,0.369622,0.00110915,-0.00533035,0.000643067
101,2.09814e+14,-8.99364,-3.56513,0.426281,0.0025914,-0.00483844,-5.37347e-05
102,3.29707e+15,-9.03135,-3.67996,0.41092,0.00173233,-0.00583416,-0.000776755
103,2.09814e+14,-9.05557,-3.73236,0.400959,0.0016385,-0.00426442,-1.53367e-05
104,2.09814e+16,-8.82286,-3.65761,0.330074,0.00160561,-0.00471502,0.000152117
105,3.1472e+14,-8.90758,-3.79793,0.416203,0.00132661,-0.00555306,0.000404516
106,7.64321e+14,-8.88415,-3.75715,0.410334,0.00193559,-0.00430482,-0.000434663
107,3.89654e+16,-8.92378,-3.80723,0.312329,0.00230178,-0.00496405,-0.000209442
108,2.09814e+14,-9.03262,-3.70876,0.428091,0.00181285,-0.00394015,2.98902e-05
109,3.44694e+14,-9.06716,-3.61328,0.495307,0.00237334,-0.00482393,0.000241792
110,8.99201e+12,-8.95582,-3.68476,0.420131,-0.00603289,-0.00492597,0.000679952
111,3.29707e+13,-8.95683,-3.68681,0.421303,0.00724883,-0.0100443,0.00202206
112,4.496e+12,-8.95475,-3.68795,0.421703,0.00710823,-0.00307486,-0.00159902
113,7.79308e+13,-8.95679,-3.6861,0.420923,0.00353548,-0.0129161,0.00391738
114,2.599e+14,-8.90445,-3.76731,0.400789,0.000925185,-0.00567541,-2.01218e-05
115,2.599e+14,-8.87748,-3.58671,0.340905,0.00123913,-0.00509113,-0.000145792
116,2.599e+14,-8.83849,-3.72194,0.379915,0.00167507,-0.00592756,-0.000167225
117,4.14e+14,-8.7963,-3.70602,0.345071,0.00159325,-0.0055769,0.000326607
118,1.495e+14,-9.00905,-3.79781,0.36794,0.00121505,-0.0046642,5.39742e-05
119,7.82e+13,-9.08749,-3.67474,0.458919,0.00201498,-0.0043609,4.88791e-05
120,8.28e+12,-9.02369,-3.48804,0.427104,0.00233426,-0.00499662,-0.000106253
121,2.599e+14,-8.94632,-3.52226,0.376508,0.00237761,-0.0053994,-1.97435e-05
122,2.599e+14,-8.85342,-3.80934,0.493452,0.00146678,-0.00550429,-5.91122e-05
123,2.599e+14,-8.82151,-3.82553,0.377908,0.00170446,-0.00560845,0.000245784
124,2.599e+14,-9.11472,-3.70254,0.433766,0.00160261,-0.00449495,-0.000120316
125,2.599e+14,-8.87801,-3.67042,0.384242,0.00250765,-0.0060351,-5.20805e-05
126,2.599e+14,-8.88046,-3.53113,0.401829,0.00218384,-0.00570479,-7.66773e-05
127,1.49867e+12,-8.95529,-3.68703,0.421264,0.00914187,-0.00269651,-0.0019888
128,2.599e+14,-9.05801,-3.72492,0.418583,0.00170144,-0.00425351,-0.000225858
129,2.599e+14,-8.79988,-3.68117,0.41498,0.00183415,-0.00578725,9.12778e-05
130,2.599e+14,-8.94858,-3.80798,0.404755,0.00236583,-0.00514071,-0.000597864
131,5.99467e+10,-8.95681,-3.68531,0.420515,-0.00262798,-0.011097,0.00355906
132,1.25052e+21,20.0199,1.237,-0.253,0.00276163,0.00301254,-0.000506614
133,1.27495e+21,20.0209,1.23644,-0.255462,-0.00212819,0.00388907,-0.00192168
134,3.40027e+21,20.0188,1.23668,-0.257043,-0.00223186,0.00425849,0.000571539
135,3.07634e+21,20.0223,1.23592,-0.256961,-0.00155234,0.0038459,-0.0012705
136,6.47188e+19,20.0203,1.23688,-0.253644,0.00234351,0.00298247,-0.00264209
137,4.496e+16,20.0199,1.23678,-0.254544,-0.00335042,0.0038898,-0.00394485
138,5.39521e+16,20.0194,1.23688,-0.254598,-0.00420611,0.00508412,0.00342568
139,9.29174e+16,20.0199,1.23678,-0.254641,-0.00449735,0.00432605,-0.00239688
140,3.43195e+17,20.0193,1.23692,-0.254518,-0.00343081,0.00497595,0.00388576
141,1.78342e+17,20.0197,1.23693,-0.253829,0.00493004,0.0025031,-0.000729098
142,5.57505e+17,20.0192,1.23697,-0.254341,-0.00122911,0.00461516,0.00475273
143,1.68151e+18,20.0194,1.23688,-0.254648,-0.00485054,0.00507169,0.00229038
144,2.54774e+17,20.0198,1.23679,-0.254715,-0.00508338,0.00462929,-0.00121539
145,3.56683e+17,20.02,1.23676,-0.254586,-0.00370099,0.00399105,-0.0036921
146,2.89393e+18,20.02,1.23687,-0.253755,0.00327732,0.00262947,-0.00252599
147,2.99734e+17,20.0661,1.21979,-0.265283,-0.000486514,0.00342069,-0.000273164
148,2.6976e+18,19.977,1.29103,-0.22696,-0.000133448,0.00416365,-5.97242e-06
149,9.89121e+16,19.963,1.18793,-0.203116,-0.000455171,0.00409709,-8.60075e-05
150,8.69228e+16,20.0703,1.41099,-0.251471,-0.000124858,0.00371553,-8.039e-05
151,2.54774e+16,20.0304,1.27657,-0.225111,0.000245124,0.00375036,-5.06674e-05
152,4.64587e+15,20,1.1755,-0.266748,-0.000670432,0.00380581,6.31181e-05
153,8.39254e+15,19.9925,1.24537,-0.269869,-0.000186423,0.00431486,0.000153086
154,6.29441e+15,20.0253,1.12598,-0.385002,-0.000155122,0.00380526,2.59061e-05
155,6.29441e+15,19.8803,1.12376,-0.248692,-0.000351905,0.00395364,6.13006e-05
156,1.8e+16,20.0195,1.23699,-0.253734,0.00405485,0.00301605,0.00154968
157,1e+15,20.0193,1.23703,-0.253703,0.00322524,0.0033192,0.00250017
158,3.8e+15,20.0191,1.23699,-0.254218,0.000404519,0.00426864,0.00495
159,2.1403e+22,25.9978,-14.9051,-0.29093,0.000385338,0.000772641,-0.00118555
160,3.08726e+19,25.9867,-14.8543,-0.286581,0.00128814,0.00240801,-0.00012897
161,1.27808e+17,25.9959,-14.9052,-0.28955,0.00583047,0.00178216,-0.00275348
162,3.53427e+17,25.9956,-14.9048,-0.289286,-0.000314695,-0.00297626,-0.00129062
163,1.74898e+18,25.9961,-14.9052,-0.289635,0.0056757,0.00589855,-0.000789912
164,2.84523e+18,25.9956,-14.9051,-0.289393,0.00418249,-0.0015375,-0.00274161
165,3.8183e+18,25.9955,-14.9049,-0.289248,0.00159818,-0.00202128,-0.00179326
166,3.87071e+19,25.9954,-14.9045,-0.28903,-0.000968343,-0.000825837,-0.000135941
167,8.99201e+16,26.0379,-14.8497,-0.24551,0.00183758,0.00278885,-0.000468231
168,1.49867e+16,25.8849,-15.0025,-0.0762744,0.00136629,0.00293994,-0.000140817
169,8.99201e+16,26.0602,-14.9938,-0.418839,0.00170524,0.00296359,-0.000146971
170,8.99201e+16,26.0477,-14.7662,-0.252892,0.00125652,0.00267644,4.42467e-05
171,1.64854e+17,25.9154,-15.0524,-0.253712,0.00121778,0.00268105,-0.000246709
172,1.5e+16,25.9957,-14.9055,-0.289543,0.0054308,0.00156628,-0.00233132
173,1.58639e+21,3.92928,-31.7962,2.26498,0.00307737,-0.000296685,-0.000846383
