mass,name,position:0,position:1,position:2,velocity:0,velocity:1,velocity:2
1.98847e+30,Sun,-1.97407e-02,3.39944e-02,2.13410e-04,-1.19742e-06,2.84873e-06,1.43430e-08
3.30101e+23,Mercury,-4.05363e-01,-1.36012e-01,2.17061e-02,5.53715e-03,-2.45138e-02,-2.51128e-03
4.86732e+24,Venus,7.05367e-01,4.92154e-02,-4.14265e-02,-5.10261e-04,2.01327e-02,3.05183e-04
5.97219e+24,Earth,-2.24571e-01,9.94613e-01,1.59462e-04,-1.71223e-02,-3.64644e-03,-1.93874e-07
6.41693e+23,Mars,-1.20008e+00,1.19303e+00,5.34811e-02,-9.27669e-03,-8.78984e-03,4.35351e-05
1.89813e+27,Jupiter,3.70397e+00,3.32184e+00,-9.68637e-02,-5.09833e-03,6.02100e-03,8.90767e-05
5.68319e+26,Saturn,-8.95383e+00,-3.68640e+00,4.20309e-01,1.83991e-03,-5.15679e-03,1.62318e-05
8.68101e+25,Uranus,2.00181e+01,1.23690e+00,-2.54473e-01,-2.69670e-04,3.75011e-03,1.76303e-05
1.02410e+26,Neptune,2.59958e+01,-1.49053e+01,-2.89481e-01,1.53755e-03,2.74872e-03,-9.13277e-05
9.47000e+20,Ceres,2.78461e+00,7.01739e-01,-4.95644e-01,-2.64278e-03,9.37467e-03,7.79977e-04
1.30293e+22,Pluto,3.92903e+00,-3.17960e+01,2.26512e+00,3.17860e-03,-2.14006e-04,-8.90551e-04
1.67160e+22,Eris,8.72273e+01,3.49397e+01,-2.22099e+01,-3.29033e-04,9.28677e-04,9.03443e-04
4.00600e+21,Haumea,-4.29482e+01,-1.39858e+01,2.35162e+01,9.08540e-04,-1.96937e-03,1.45174e-04
3.10000e+21,Makemake,-4.57729e+01,2.07417e+00,2.51432e+01,-2.92553e-04,-2.17042e-03,-6.45973e-05
1.75000e+21,Gonggong,7.58494e+01,-4.12089e+01,-4.81786e+00,1.19719e-03,7.32665e-04,6.79614e-04
1.40000e+21,Quaoar,-5.65705e+00,-4.23122e+01,5.75037e+00,2.61092e-03,-2.31044e-04,9.00753e-05
1.19400e+21,Sedna,5.17824e+01,6.75706e+01,-1.79703e+01,-2.37279e-03,7.80475e-04,1.58427e-04
6.34800e+20,Orcus,-4.04045e+01,2.08488e+01,-1.53430e+01,-9.70969e-04,-1.93238e-03,-3.44139e-04
4.92200e+20,Salacia,4.04671e+01,-4.47506e+00,1.73374e+01,3.71218e-04,2.47064e-03,3.56218e-04
7.34581e+22,Luna,-9.86089e-01,-2.89713e-01,1.48272e-03,5.85059e-03,-1.62925e-02,-4.34307e-05
1.06192e+16,Phobos,-1.97100e+00,1.09345e-01,5.24074e-02,1.15171e-03,-1.12814e-02,8.22001e-05
1.44069e+15,Deimos,7.50611e-01,-1.22425e+00,-6.70021e-02,1.16407e-02,9.12683e-03,9.18011e-05
8.92968e+22,Io,3.70508e+00,3.32445e+00,-9.67555e-02,-1.42429e-02,9.94236e-03,7.24901e-05
4.79859e+22,Europa,3.69967e+00,3.32363e+00,-9.68582e-02,-8.37469e-03,-8.84664e-04,-1.40417e-04
1.48148e+23,Ganymede,3.70228e+00,3.31491e+00,-9.71410e-02,1.01660e-03,4.51589e-03,1.09498e-04
1.07566e+23,Callisto,3.69132e+00,3.32295e+00,-9.70007e-02,-5.50148e-03,1.34286e-03,-6.55123e-05
2.46564e+18,Amalthea,3.70296e+00,3.32267e+00,-9.68562e-02,-1.33038e-02,-5.69146e-03,-5.01319e-04
2.27069e+18,Himalia,3.69362e+00,3.24116e+00,-1.21720e-01,-3.52243e-03,6.18729e-03,-5.74230e-04
8.69228e+17,Elara,3.63779e+00,3.33095e+00,-6.01615e-02,-4.91804e-03,4.08155e-03,1.46088e-04
2.99734e+17,Pasiphae,3.82209e+00,3.15187e+00,7.67508e-04,-5.83137e-03,5.87121e-03,3.02589e-04
7.49334e+16,Sinope,3.58991e+00,3.24017e+00,-4.98476e-02,-6.28017e-03,6.84046e-03,-1.22913e-04
6.29441e+16,Lysithea,3.77238e+00,3.28606e+00,-1.11290e-01,-4.42055e-03,7.57938e-03,9.13475e-04
1.31883e+17,Carme,3.66670e+00,3.13463e+00,-1.43941e-01,-6.08001e-03,6.39934e-03,1.13792e-04
2.99734e+16,Ananke,3.74447e+00,3.47227e+00,-1.13721e-01,-4.15410e-03,5.42293e-03,7.22711e-04
1.09403e+16,Leda,3.75900e+00,3.36993e+00,-1.09579e-01,-6.57344e-03,7.04104e-03,-7.07872e-04
4.51704e+17,Thebe,3.70373e+00,3.32338e+00,-9.67966e-02,-1.80293e-02,3.45539e-03,-4.15496e-04
2.08262e+15,Adrastea,3.70313e+00,3.32156e+00,-9.68863e-02,-1.35303e-03,-1.15269e-02,-4.83814e-04
3.74722e+16,Metis,3.70290e+00,3.32161e+00,-9.68879e-02,1.01641e-03,-7.29746e-03,-2.97366e-04
8.69228e+14,Callirrhoe,3.63261e+00,3.26368e+00,-2.83229e-02,-6.48851e-03,7.13725e-03,1.82326e-04
